               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12844,            0.034834,            0.076974,           0.0054559,            0.090909,           0.0050671,           0.0007368,             0.12575,            0.028605,            0.077995,              0.0982,              0.0002,              0.0002
                   1,             0.12564,            0.036226,             0.07879,           0.0046831,            0.079545,           0.0047172,          0.00086162,              0.1188,            0.030723,            0.076176,            0.095499,          0.00049901,          0.00049901
                   2,             0.11883,            0.039385,            0.075268,            0.011976,             0.15794,            0.013351,            0.002188,             0.10808,            0.032564,            0.073798,            0.092797,          0.00079683,          0.00079683
                   3,             0.11118,             0.04571,            0.073177,            0.012545,             0.22677,            0.016467,           0.0027432,            0.097669,            0.036041,            0.071095,            0.090093,           0.0010935,           0.0010935
                   4,             0.10363,            0.051198,            0.070605,            0.010351,              0.3249,            0.010275,           0.0025123,            0.090006,            0.037952,            0.067275,            0.087389,           0.0013889,           0.0013889
                   5,            0.099339,            0.048216,             0.06879,            0.013763,             0.49557,            0.020233,           0.0049032,            0.086423,             0.03849,            0.063963,            0.084683,           0.0016832,           0.0016832
                   6,            0.096312,            0.055802,            0.065954,            0.013561,             0.59443,            0.035701,           0.0092776,            0.083498,            0.038349,            0.059513,            0.081976,           0.0019762,           0.0019762
                   7,            0.093093,            0.045969,            0.062222,            0.012688,             0.58921,            0.061056,            0.017836,            0.081927,            0.037956,            0.055563,            0.079268,           0.0022681,           0.0022681
                   8,            0.093471,            0.050671,            0.059517,            0.011739,             0.69895,            0.055782,            0.016859,            0.083383,            0.035183,            0.048895,            0.076559,           0.0025588,           0.0025588
                   9,            0.090197,            0.050868,            0.056588,            0.012096,             0.74211,             0.13412,            0.038456,            0.082521,            0.034321,            0.045622,            0.073848,           0.0028483,           0.0028483
                  10,            0.089775,            0.053897,            0.053853,             0.14089,             0.36364,             0.22304,            0.055555,             0.08238,            0.031174,            0.042129,            0.071137,           0.0031366,           0.0031366
                  11,            0.088685,            0.051302,            0.050439,            0.010191,             0.81974,            0.031658,            0.010756,            0.092659,            0.028116,            0.041831,            0.068424,           0.0034238,           0.0034238
                  12,            0.088198,            0.048246,            0.048058,             0.34627,             0.30682,              0.1822,            0.039944,            0.094892,            0.027586,            0.042948,             0.06571,           0.0037097,           0.0037097
                  13,             0.08896,            0.039515,            0.046229,             0.13595,             0.34091,             0.26522,             0.05299,            0.090579,            0.029854,            0.042643,            0.062994,           0.0039945,           0.0039945
                  14,            0.084199,            0.041879,             0.04355,            0.040226,             0.55774,            0.041528,           0.0091131,            0.094138,            0.034145,            0.043165,            0.060278,            0.004278,            0.004278
                  15,            0.095451,            0.034757,            0.042937,            0.038987,             0.60428,            0.041856,           0.0096177,            0.094104,            0.032665,            0.042505,             0.05756,           0.0045604,           0.0045604
                  16,            0.092066,            0.035585,            0.042801,             0.12287,             0.21591,             0.20993,            0.044669,            0.090631,            0.030602,            0.038139,            0.054842,           0.0048416,           0.0048416
                  17,            0.093029,            0.035483,            0.042003,            0.089113,             0.30682,              0.1239,            0.030405,            0.098453,             0.02523,            0.035569,            0.052122,           0.0051216,           0.0051216
                  18,             0.08971,            0.033685,            0.039906,            0.084215,             0.33545,             0.16266,            0.045418,             0.08135,            0.025522,            0.034739,              0.0494,           0.0054004,           0.0054004
                  19,            0.086228,            0.035592,            0.038755,             0.16577,             0.49636,             0.21684,            0.064228,            0.088389,             0.02194,            0.033098,            0.046678,            0.005678,            0.005678
                  20,            0.086869,            0.036978,            0.038516,             0.09668,             0.17136,            0.098258,            0.028555,             0.10177,            0.018026,            0.032415,            0.043954,           0.0059545,           0.0059545
                  21,             0.10011,            0.030018,            0.036788,             0.05581,             0.45885,            0.077601,             0.02359,            0.095042,            0.018202,            0.031427,             0.04123,           0.0062297,           0.0062297
                  22,             0.09398,            0.033148,            0.035199,             0.12428,             0.52294,             0.15819,            0.041667,            0.095566,             0.01845,            0.030911,            0.038504,           0.0065038,           0.0065038
                  23,             0.09663,            0.028866,            0.035569,              0.1406,             0.33364,             0.19334,            0.056224,            0.089307,            0.019278,            0.030273,            0.035777,           0.0067767,           0.0067767
                  24,            0.091795,            0.033063,            0.035717,             0.11771,             0.24409,             0.18593,             0.05197,            0.090991,            0.018436,            0.028584,            0.033048,           0.0070484,           0.0070484
